Crank Radius,Link Length,Offset,Max Force,Max Torque,Max Velocity,Max Acceleration,Peak Power,Min Link Height,Min Link Width,Min Crank Height,Min Crank Width,Min Pin Diameter,Return Ratio,System Area,Stroke,System Weight,System Volume,Optimization Score
0.1145000000,0.1520000000,0.0345000000,16.7837603325,0.2149284982,0.4056066268,5.5948406448,0.6752177910,0.0029040000,0.0014520000,0.0024640000,0.0012320000,0.0006710000,1.9872526303,0.0867354561,0.2495605118,0.0026689665,0.0003396560,0.8751074380
0.1135000000,0.1570000000,0.0400000000,17.1753019568,0.2098170737,0.3922167915,5.2092413268,0.6591597774,0.0029680000,0.0014840000,0.0024320000,0.0012160000,0.0006750000,1.9594359829,0.0864929399,0.2504308459,0.0027733409,0.0003387064,0.8750758253
0.1115000000,0.1580000000,0.0435000000,30.0024313767,0.2041290763,0.3797690023,5.5581632672,0.6412904064,0.0034240000,0.0017120000,0.0023820000,0.0011910000,0.0007916000,2.0004428292,0.0841749544,0.2495344865,0.0033547488,0.0003446123,0.8750151236
0.1140000000,0.1565000000,0.0385000000,13.2003374408,0.2115199544,0.3962707251,4.8748925238,0.6645095350,0.0027760000,0.0013880000,0.0024480000,0.0012240000,0.0006530000,1.9211234704,0.0870381218,0.2497461484,0.0025503995,0.0003338782,0.8749525468
0.1115000000,0.1665000000,0.0495000000,13.4733764379,0.2023829980,0.3723614370,4.1710975674,0.6358049396,0.0028780000,0.0014390000,0.0023900000,0.0011950000,0.0006585000,1.8549094348,0.0858678405,0.2495836366,0.0027215991,0.0003287880,0.8749215685
0.1115000000,0.1660000000,0.0495000000,15.2444417370,0.2024097634,0.3724891775,4.3776902974,0.6358890258,0.0029640000,0.0014820000,0.0023860000,0.0011930000,0.0006687500,1.8797753040,0.0857545265,0.2502459376,0.0028257231,0.0003316985,0.8748300571
0.1125000000,0.1620000000,0.0450000000,15.0717629351,0.2057098431,0.3813361204,4.6073319077,0.6462565318,0.0029180000,0.0014590000,0.0024080000,0.0012040000,0.0006657500,1.9019312631,0.0862394299,0.2501647643,0.0027428119,0.0003334879,0.8747840317
0.1130000000,0.1615000000,0.0435000000,12.0218302332,0.2072382121,0.3849142046,4.3731231364,0.6510580446,0.0027540000,0.0013770000,0.0024240000,0.0012120000,0.0006472500,1.8716462396,0.0867910882,0.2495837529,0.0025499637,0.0003298929,0.8747806890
0.1135000000,0.1575000000,0.0400000000,14.8031487643,0.2097530435,0.3919956528,4.8696292798,0.6589586206,0.0028660000,0.0014330000,0.0024320000,0.0012160000,0.0006622500,1.9242632535,0.0866076992,0.2497014118,0.0026527607,0.0003347388,0.8745444444
0.1115000000,0.1585000000,0.0440000000,30.2542753396,0.2039709947,0.3791555835,5.5672073567,0.6407937786,0.0034360000,0.0017180000,0.0023820000,0.0011910000,0.0007949000,2.0009781076,0.0842696240,0.2498679789,0.0033802768,0.0003455055,0.8744232378
0.1125000000,0.1625000000,0.0455000000,15.1491040860,0.2055627151,0.3807487200,4.6147427827,0.6457943157,0.0029280000,0.0014640000,0.0024060000,0.0012030000,0.0006667500,1.9027976574,0.0863347027,0.2504793772,0.0027599217,0.0003341153,0.8743499872
0.1130000000,0.1620000000,0.0440000000,12.0762140459,0.2070765128,0.3843055962,4.3802136354,0.6505500514,0.0027620000,0.0013810000,0.0024240000,0.0012120000,0.0006482500,1.8727422603,0.0868873224,0.2498933203,0.0025647341,0.0003306063,0.8743434574
0.1140000000,0.1515000000,0.0350000000,23.7376174615,0.2135588517,0.4029316232,6.1054331367,0.6709149197,0.0031620000,0.0015810000,0.0024460000,0.0012230000,0.0007049000,2.0350386281,0.0859977060,0.2497200092,0.0029656616,0.0003463128,0.8743093472
0.1130000000,0.1550000000,0.0390000000,23.5306945301,0.2091683165,0.3919544643,5.5775171458,0.6571216465,0.0031920000,0.0015960000,0.0024160000,0.0012080000,0.0007018000,1.9961469554,0.0854612511,0.2495586717,0.0030224627,0.0003428705,0.8743054894
0.1135000000,0.1580000000,0.0405000000,14.8810025647,0.2095494531,0.3912838379,4.8776563422,0.6583190225,0.0028740000,0.0014370000,0.0024320000,0.0012160000,0.0006632500,1.9254493090,0.0867054393,0.2500231989,0.0026680998,0.0003354633,0.8741965288
0.1120000000,0.1670000000,0.0490000000,11.1432246913,0.2035195288,0.3746323785,4.0093544374,0.6393754565,0.0027480000,0.0013740000,0.0024040000,0.0012020000,0.0006440000,1.8318037062,0.0866126084,0.2496834384,0.0025763040,0.0003272224,0.8741670552
0.1125000000,0.1630000000,0.0455000000,13.3528674752,0.2055242845,0.3805890530,4.3749336811,0.6456735822,0.0028400000,0.0014200000,0.0024100000,0.0012050000,0.0006562500,1.8749934156,0.0864487720,0.2498078620,0.0026569405,0.0003310988,0.8740913651
0.1130000000,0.1555000000,0.0395000000,23.7012576622,0.2089594521,0.3911927901,5.5867734434,0.6564654795,0.0032020000,0.0016010000,0.0024140000,0.0012070000,0.0007043000,1.9970931395,0.0855587667,0.2498942265,0.0030412891,0.0003435184,0.8740101239
0.1135000000,0.1585000000,0.0410000000,14.9592577413,0.2093484921,0.3905861758,4.8856702248,0.6576876849,0.0028820000,0.0014410000,0.0024300000,0.0012150000,0.0006640000,1.9265868838,0.0868030230,0.2503449347,0.0026820384,0.0003360145,0.8739803558
0.1140000000,0.1530000000,0.0360000000,19.4803376477,0.2129267205,0.4008649162,5.5892941363,0.6689290209,0.0030240000,0.0015120000,0.0024440000,0.0012220000,0.0006835000,1.9908097615,0.0863121137,0.2495619020,0.0028080778,0.0003414507,0.8738578340
0.1115000000,0.1590000000,0.0445000000,30.5089769701,0.2038147863,0.3785497210,5.5762367828,0.6403030353,0.0034500000,0.0017250000,0.0023800000,0.0011900000,0.0007982000,2.0014766513,0.0843641429,0.2502012946,0.0034075054,0.0003463148,0.8738501650
0.1125000000,0.1635000000,0.0460000000,13.4161736501,0.2053920778,0.3800116633,4.3819588031,0.6452582427,0.0028480000,0.0014240000,0.0024080000,0.0012040000,0.0006570000,1.8759264091,0.0865439258,0.2501169545,0.0026709652,0.0003316363,0.8737487064
0.1130000000,0.1575000000,0.0410000000,19.7218870694,0.2082884109,0.3888122887,5.1948578887,0.6543573416,0.0030780000,0.0015390000,0.0024140000,0.0012070000,0.0006865000,1.9606726522,0.0859646906,0.2500758931,0.0029033964,0.0003398184,0.8737395451
0.1140000000,0.1535000000,0.0365000000,19.6069678939,0.2126684838,0.3999961626,5.5986947704,0.6681177464,0.0030340000,0.0015170000,0.0024420000,0.0012210000,0.0006845000,1.9921017872,0.0864115698,0.2498984443,0.0028253002,0.0003421034,0.8736475284
0.1130000000,0.1560000000,0.0400000000,23.8733540440,0.2087533962,0.3904414586,5.5960144360,0.6558181359,0.0032140000,0.0016070000,0.0024140000,0.0012070000,0.0007069000,1.9979904229,0.0856561240,0.2502296645,0.0030644243,0.0003444233,0.8734822088
0.1130000000,0.1580000000,0.0415000000,19.8460050113,0.2080915487,0.3881229528,5.2033795805,0.6537388806,0.0030880000,0.0015440000,0.0024120000,0.0012060000,0.0006875000,1.9616079744,0.0860616059,0.2504038534,0.0029214710,0.0003404597,0.8734101463
0.1140000000,0.1540000000,0.0370000000,19.7345427613,0.2124140334,0.3991547935,5.6080796526,0.6673183668,0.0030440000,0.0015220000,0.0024420000,0.0012210000,0.0006857500,1.9933340929,0.0865108625,0.2502349234,0.0028441498,0.0003429291,0.8732955954
0.1145000000,0.1540000000,0.0360000000,14.6703166619,0.2140012957,0.4026308784,5.2028839088,0.6723048985,0.0028260000,0.0014130000,0.0024600000,0.0012300000,0.0006607500,1.9506543779,0.0871518232,0.2498198789,0.0025957729,0.0003375390,0.8732864314
0.1125000000,0.1640000000,0.0465000000,13.4797520482,0.2052613063,0.3794409176,4.3889726911,0.6448474119,0.0028560000,0.0014280000,0.0024080000,0.0012040000,0.0006580000,1.8768229330,0.0866389319,0.2504259759,0.0026865431,0.0003323469,0.8732604196
0.1130000000,0.1630000000,0.0445000000,10.9557811852,0.2068705537,0.3835380912,4.1801813112,0.6499030118,0.0027040000,0.0013520000,0.0024240000,0.0012120000,0.0006410000,1.8479850140,0.0870979068,0.2495909420,0.0025052707,0.0003288817,0.8731975054
0.1135000000,0.1590000000,0.0410000000,13.1557509979,0.2092874954,0.3903826105,4.6031301063,0.6574960582,0.0027960000,0.0013980000,0.0024320000,0.0012160000,0.0006535000,1.8950398529,0.0869178323,0.2496685202,0.0025843195,0.0003328953,0.8731681524
0.1140000000,0.1580000000,0.0395000000,11.8712394772,0.2110253279,0.3945156555,4.6081844087,0.6629556199,0.0027160000,0.0013580000,0.0024480000,0.0012240000,0.0006455000,1.8918186050,0.0873505872,0.2497323384,0.0024957179,0.0003324563,0.8730883126
0.1145000000,0.1545000000,0.0365000000,14.7494082439,0.2137415390,0.4017638505,5.2116193412,0.6714888486,0.0028360000,0.0014180000,0.0024580000,0.0012290000,0.0006617500,1.9521447984,0.0872517926,0.2501491267,0.0026114527,0.0003381879,0.8730754917
0.1130000000,0.1595000000,0.0425000000,16.9586538292,0.2076682055,0.3865793359,4.8800895500,0.6524089088,0.0029820000,0.0014910000,0.0024140000,0.0012070000,0.0006745000,1.9289344062,0.0863693751,0.2502974144,0.0028037089,0.0003372724,0.8729509833
0.1135000000,0.1595000000,0.0415000000,13.2195164715,0.2090902941,0.3896981823,4.6106798966,0.6568765318,0.0028020000,0.0014010000,0.0024320000,0.0012160000,0.0006542500,1.8962563284,0.0870152879,0.2499841247,0.0025968288,0.0003335296,0.8729225560
