Crank Radius,Link Length,Offset,Theta Angle,Phi Angle,Link Normal Stress,Xs,Vs,As
123.500,130.000,5.500,345.000,-11.583,0.200,249.394,-1169.543,424.962
123.500,130.000,5.500,360.000,2.423,0.196,253.479,-1247.214,488.482
,,,,,,,,
124.000,131.000,5.000,15.000,16.008,0.204,250.633,-1291.754,520.810
124.000,131.000,5.000,30.000,28.043,0.222,238.131,-1285.472,515.673
124.000,131.000,5.000,45.000,37.238,0.246,218.327,-1236.217,475.391
124.000,131.000,5.000,60.000,43.343,0.270,192.570,-1147.346,402.711
124.000,131.000,5.000,75.000,46.688,0.286,162.616,-1024.915,302.587
124.000,131.000,5.000,90.000,47.735,0.292,130.507,-877.269,181.843
124.000,131.000,5.000,105.000,46.688,0.286,98.429,-714.470,48.707
124.000,131.000,5.000,120.000,43.343,0.270,68.570,-547.611,-87.746
124.000,131.000,5.000,135.000,37.238,0.246,42.965,-388.065,-218.218
124.000,131.000,5.000,150.000,28.043,0.222,23.357,-246.704,-333.818
124.000,131.000,5.000,165.000,16.008,0.204,11.084,-133.160,-426.668
124.000,131.000,5.000,180.000,2.186,0.196,6.981,-55.173,-490.443
124.000,131.000,5.000,195.000,-11.766,0.200,11.329,-18.055,-520.795
124.000,131.000,5.000,210.000,-24.151,0.215,23.830,-24.337,-515.658
124.000,131.000,5.000,225.000,-33.809,0.236,43.634,-73.591,-475.381
124.000,131.000,5.000,240.000,-40.359,0.257,69.390,-162.460,-402.709
124.000,131.000,5.000,255.000,-44.019,0.273,99.344,-284.888,-302.593
124.000,131.000,5.000,270.000,-45.179,0.278,131.453,-432.532,-181.855
124.000,131.000,5.000,285.000,-44.019,0.273,163.531,-595.330,-48.723
124.000,131.000,5.000,300.000,-40.359,0.257,193.390,-762.189,87.732
124.000,131.000,5.000,315.000,-33.809,0.236,218.996,-921.737,218.208
124.000,131.000,5.000,330.000,-24.151,0.215,238.605,-1063.100,333.815
124.000,131.000,5.000,345.000,-11.766,0.200,250.878,-1176.646,426.674
124.000,131.000,5.000,360.000,2.186,0.196,254.981,-1254.636,490.455
,,,,,,,,
123.500,131.000,6.000,15.000,16.373,0.204,250.147,-1289.167,518.710
123.500,131.000,6.000,30.000,28.329,0.223,237.695,-1282.910,513.593
123.500,131.000,6.000,45.000,37.453,0.247,217.971,-1233.854,473.474
123.500,131.000,6.000,60.000,43.505,0.271,192.318,-1145.341,401.087
123.500,131.000,6.000,75.000,46.818,0.287,162.485,-1023.404,301.367
123.500,131.000,6.000,90.000,47.855,0.292,130.505,-876.354,181.110
123.500,131.000,6.000,105.000,46.818,0.287,98.557,-714.211,48.511
123.500,131.000,6.000,120.000,43.505,0.271,68.818,-548.025,-87.392
123.500,131.000,6.000,135.000,37.453,0.247,43.316,-389.122,-217.338
123.500,131.000,6.000,150.000,28.329,0.223,23.787,-248.331,-332.472
